巨,,,巨人、巨大、巨額、巨匠
丙,,,丙、丙種
丘,,丘,砂丘、丘陵
与,,賞金を与える,賞与、給与、付与
丈,,身の丈,丈夫、頑丈、一丈
乏,之,知識が乏しい,欠乏、貧乏
及,,影響を及ぼす,及第点、追及、普及、波及
丼,井,,牛丼、丼勘定
丹,,,丹念、丹精
串,,串刺し、串団子,
井,,井戸,天井、油井
互,,互い違い、お互い,相互、互角、交互
乾,乞、乙,服が乾く,乾燥、乾電池
乞,乙,乞うご期待,
乙,,,甲乙
仙,,,仙人、仙境、歌仙
介,,,紹介、介入、仲介、介抱、介助、魚介
亭,,,亭主、料亭
享,,,享受、享年
亜,,,亜細亜、亜鉛
佐,左,,大佐、補佐
伏,犬,床に伏せる,伏兵、潜伏、降伏
伐,,,伐採、乱伐、討伐、征伐
仰,卬,仰ぎ見る,仰天、信仰
企,止,計画を企てる,企画、企業
伴,半,彼に伴う,同伴、伴奏
伯,白,,画伯、伯爵
但,旦,但し,
伸,申,背が伸びる,屈伸
伺,司,会社に伺う,伺候
併,并,二つの会社を併せる,合併、併設、併用
侮,毎,彼に侮る,侮辱、侮蔑
侍,寺,侍所,侍女
佳,圭,,佳境、佳作
依,衣,,依存、依頼、帰依
俗,谷,,俗習、俗世間、俗悪
促,足,発育を促す、注意を促す,催促、促進
侵,,領地を侵す,侵略、侵入
俊,夋,,俊敏、俊才
侯,,,侯爵、諸侯
倣,放、方,顰みに倣う,模倣
俸,奉,,年俸、減俸
倒,到,棒が倒れる,倒壊、転倒
倹,㑒,,倹約
俺,,俺たち,
偏,扁,偏った考え,偏見、偏向、偏差値、人偏
偵,貞,,偵察、探偵
偶,禺,,偶然、偶発、偶数、土偶
偽,為,偽物、身分を偽る,偽造、偽名
倫,侖,,倫理、映倫
傾,頃,日が傾く,傾斜、傾向、傾倒
僅,堇,残り僅か,僅差、僅少
傍,方,傍らに寄り添う,傍観、傍聴
傘,,日傘,傘下、落下傘
偉,韋,彼は偉い,偉大、偉業
僧,曽,,僧侶、小僧
債,責,,債務、債権、国債
催,崔、隹,祭りを催す,開催、主催、催促、催眠術
傲,,,傲慢、傲岸
傑,,,傑作、傑出、怪傑
儒,需,,儒教、儒学
舗,舎、甫,,舗装、鋪道、店舗
儀,義,,行儀、礼儀、儀式、地球儀、難儀
僚,尞,,同僚、官僚
僕,,,下僕、公僕
冠,,草冠,王冠、冠水
冗,,,冗談、冗漫
免,,危険を免れる,免許、免除
克,,,克服、克明
充,,費用に充てる,充電、補充、充実
凍,東,水が凍る、寒さで凍える,凍結、冷凍
凄,妻,,凄惨
准,隹,,准教授、批准
冶,台,,冶金、陶冶
冥,,,冥王星、冥界、冥土、冥利
凸,,,凹凸、凸多角形
凹,,,凹凸、凹版
凶,,,大凶、凶悪、凶暴、凶作
凡,,,平凡、凡人、凡例
凝,,目を凝らして見る,凝固、凝結、凝視
刺,,針を刺す,刺繍、刺激、名刺、風刺
刹,,,古刹
刑,,,刑事、刑罰、処刑
刈,,草刈り、刈り上げ,
刃,,刃物、出刃包丁,鋭刃
剤,,,洗剤、薬剤、錠剤
剛,岡,,剛腕、質実剛健
剣,㑒,勇者の剣,剣道、剣士
削,肖,予算を削る,削除、削減
到,,,到着、到来、殺到、用意周到
励,,勉強に励む,励行、激励、奨励
劣,,技能が劣る,劣勢、優劣、下劣
剰,乗,,過剰、余剰
剖,咅,,解剖、剖検
剥,录,皮を剥ぐ,剥製、剥奪
募,莫,,募集、応募、募金
勘,甚,,勘当、勘弁、勘案
勃,孛,,勃興、勃発
勅,束,,勅語、勅命
劾,刻,,弾劾
旨,,その旨を伝える,趣旨、要旨
匂,,,足が匂う、匂い紙
勾,,,勾配、勾留
勲,動,,勲章、勲功
勧,隹,映画を勧める,勧誘、勧告
卑,,卑しい人,卑怯、卑劣
卓,,,卓越、卓上、卓球
升,,升に酒をくむ,一升瓶
匠,斤,,巨匠、師匠、意匠
匹,,一匹の犬,匹敵
厄,,,厄年、災厄、厄介
卸,,商品を卸す、卸売り,
即,,,即位、即時、即死
却,,,退却、却下、返却、焼却
占,,未来を占う、過半数を占める,占星術、占領、占拠
